aquired_current,ambiant_temperature,mixing_cycle_flowrate,chaud_flowrate,froid_flowrate,out_aerotherme,out_heat_exchanger,temp_out_froid,temp_in_froid,temp_out_chaud,temp_in_chaud,aerotherme_acquis,process_value
11.014648,21.072338,9.088962,14.445561,16.344342,39.886791,17.516328,15.51736,24.630622,38.851016,30.126833,25,30.126833
11.023806,21.065271,9.083597,14.394797,16.343523,39.914082,17.510983,15.54702,24.668523,38.882344,30.128884,25,30.128884
11.045482,21.042995,9.062573,14.396434,16.348845,39.938839,17.505134,15.574544,24.693034,38.911899,30.130399,25,30.130399
11.044872,21.031332,9.057064,14.390703,16.357442,39.962584,17.498688,15.600716,24.704975,38.941582,30.132103,25,30.132103
11.032355,21.028851,9.016611,14.41895,16.369723,39.985759,17.492903,15.625098,24.696405,38.974113,30.134375,25,30.134375
11.05342,21.037061,9.009651,14.426729,16.363173,40.01837,17.488501,15.655419,24.705857,39.014777,30.137058,25,30.137058
11.053725,21.034351,9.009651,14.429594,16.354986,40.043572,17.482464,15.677916,24.729046,39.047055,30.139961,25,30.139961
11.082728,21.04662,9.0401,14.39275,16.346798,40.068869,17.476144,15.700225,24.765562,39.076581,30.141729,25,30.141729
11.083339,21.060403,9.090557,14.41895,16.344342,40.093881,17.469604,15.723288,24.807151,39.104746,30.143622,25,30.143622
11.085781,21.067743,9.082002,14.411172,16.365629,40.118735,17.463535,15.747043,24.83806,39.132342,30.145674,25,30.145674
11.11112,21.078926,9.069243,14.397253,16.368085,40.144065,17.459259,15.770421,24.835035,39.159558,30.146684,25,30.146684
11.124553,21.089184,9.052134,14.409944,16.325102,40.174935,17.45077,15.799329,24.865755,39.193579,30.147473,25,30.147473
11.145924,21.085156,9.022266,14.415675,16.351711,40.197605,17.444481,15.819942,24.905329,39.221682,30.148104,25,30.148104
11.133102,21.071391,9.02908,14.396434,16.324283,40.220276,17.439702,15.838292,24.904068,39.249025,30.148262,25,30.148262
11.150198,21.066505,9.033575,14.38579,16.341067,40.242376,17.4353,15.855638,24.886424,39.274533,30.148893,25,30.148893
11.165157,21.053345,9.067793,14.410353,16.337792,40.263559,17.431778,15.87292,24.866417,39.298523,30.150282,25,30.150282
11.18317,21.058067,9.038505,14.398481,16.366448,40.283697,17.431275,15.890768,24.847638,39.322702,30.152049,25,30.152049
11.170958,21.067078,9.037055,14.383334,16.330424,40.310452,17.429389,15.911665,24.79376,39.351344,30.151733,25,30.151733
11.185002,21.066972,9.03923,14.408306,16.349254,40.328817,17.426873,15.928759,24.803843,39.375144,30.152617,25,30.152617
11.206983,21.055722,9.013131,14.43287,16.337383,40.348227,17.422188,15.946042,24.791429,39.399229,30.154069,25,30.154069
11.221942,21.050474,9.043434,14.423863,16.346798,40.367922,17.416592,15.961439,24.789034,39.423283,30.155142,25,30.155142
11.208509,21.036741,9.095051,14.423044,16.332061,40.387775,17.41046,15.974103,24.808978,39.447495,30.155805,25,30.155805
11.232017,21.031951,9.084322,14.422225,16.376682,40.408294,17.403292,15.98441,24.843384,39.472562,30.156941,25,30.156941
11.22988,21.035422,9.045319,14.398481,16.38446,40.432992,17.39606,15.992738,24.858508,39.503104,30.158045,25,30.158045
11.247282,21.031929,9.041984,14.426729,16.338202,40.455284,17.3904,15.995126,24.883966,39.525513,30.158298,25,30.158298
11.256746,21.02841,9.039375,14.43246,16.373407,40.475867,17.385967,15.994497,24.883147,39.548016,30.158834,25,30.158834
11.247587,21.026762,9.013711,14.391112,16.362763,40.495563,17.381565,15.991292,24.874766,39.570362,30.158329,25,30.158329
11.242397,21.002687,9.007186,14.388246,16.386097,40.51491,17.376597,15.98639,24.867582,39.592992,30.156909,25,30.156909
11.263767,21.005798,9.015161,14.389884,16.387325,40.534163,17.371064,15.981111,24.860399,39.617047,30.156152,25,30.156152
11.264378,21.001072,9.015306,14.434098,16.355395,40.557121,17.366976,15.975297,24.827788,39.64411,30.155836,25,30.155836
11.252472,20.99915,9.04068,14.438601,16.363582,40.573587,17.36182,15.970395,24.831191,39.664873,30.157603,25,30.157603
11.262852,21.002928,9.059818,14.420588,16.376272,40.590909,17.356852,15.968038,24.829395,39.684593,30.158045,25,30.158045
11.274147,21.020783,9.068663,14.426319,16.394284,40.607818,17.352136,15.966844,24.846913,39.703901,30.159182,25,30.159182
11.269568,21.01586,9.095921,14.43246,16.373407,40.623557,17.346916,15.965587,24.899437,39.722765,30.16098,25,30.16098
11.270179,21.038375,9.089687,14.491002,16.36481,40.63787,17.339622,15.963199,24.993836,39.740491,30.161359,25,30.161359
11.271095,21.082908,9.071998,14.482815,16.359079,40.656712,17.332548,15.961471,25.079857,39.761698,30.15915,25,30.15915
11.272621,21.118777,9.075768,14.442695,16.355804,40.669885,17.325127,15.95858,25.099267,39.777778,30.159781,25,30.159781
11.280253,21.152731,9.067068,14.449654,16.361945,40.682869,17.317236,15.955029,25.113762,39.794903,30.159939,25,30.159939
11.280559,21.18396,9.055614,14.410763,16.348845,40.695219,17.309753,15.951007,25.117354,39.812882,30.15975,25,30.15975
11.280864,21.249756,9.040825,14.416494,16.363173,40.70719,17.302961,15.946765,25.113888,39.830893,30.159781,25,30.159781
11.286054,21.304315,9.02792,14.397253,16.375454,40.71973,17.296547,15.942617,25.117039,39.847479,30.161044,25,30.161044
11.309562,21.313291,9.03865,14.427138,16.402062,40.73303,17.288058,15.942302,25.179115,39.872328,30.162464,25,30.162464
11.316583,21.310932,9.049089,14.433279,16.407793,40.745064,17.280638,15.945822,25.19966,39.888914,30.161833,25,30.161833
11.299182,21.315194,9.059673,14.435735,16.424577,40.757478,17.273124,15.952547,25.193736,39.904836,30.162053,25,30.162053
